,rpt_dt,addr_pct_cd,ofns_desc,loc_of_occur_desc,prem_typ_desc,latitude,longitude,lat_lon,coords_list
105,2020-07-26T00:00:00.000,44,VEHICLE AND TRAFFIC LAWS,,STREET,40.83092327800006,-73.92046361299998,"{'latitude': '40.83092327800006', 'longitude': '-73.92046361299998'}","['40.83092327800006', '-73.92046361299998']"
106,2020-07-25T00:00:00.000,50,PETIT LARCENY,INSIDE,DRUG STORE,40.87862551400008,-73.905005395,"{'latitude': '40.87862551400008', 'longitude': '-73.905005395'}","['40.87862551400008', '-73.905005395']"
107,2020-07-23T00:00:00.000,123,HARRASSMENT 2,REAR OF,RESIDENCE-HOUSE,40.559992798000046,-74.17403330999997,"{'latitude': '40.559992798000046', 'longitude': '-74.17403330999997'}","['40.559992798000046', '-74.17403330999997']"
108,2020-07-23T00:00:00.000,47,HARRASSMENT 2,FRONT OF,RESIDENCE-HOUSE,40.89417665700007,-73.84413813999998,"{'latitude': '40.89417665700007', 'longitude': '-73.84413813999998'}","['40.89417665700007', '-73.84413813999998']"
109,2020-07-23T00:00:00.000,45,PETIT LARCENY,FRONT OF,STREET,40.870145811000036,-73.83166249599998,"{'latitude': '40.870145811000036', 'longitude': '-73.83166249599998'}","['40.870145811000036', '-73.83166249599998']"
110,2020-07-22T00:00:00.000,114,PETIT LARCENY,REAR OF,STREET,40.77644903000004,-73.90631737399997,"{'latitude': '40.77644903000004', 'longitude': '-73.90631737399997'}","['40.77644903000004', '-73.90631737399997']"
111,2020-07-22T00:00:00.000,61,PETIT LARCENY,INSIDE,DRUG STORE,40.599447190000035,-73.95089070699999,"{'latitude': '40.599447190000035', 'longitude': '-73.95089070699999'}","['40.599447190000035', '-73.95089070699999']"
112,2020-07-22T00:00:00.000,28,PETIT LARCENY,OPPOSITE OF,STREET,40.804058001000044,-73.95659134499994,"{'latitude': '40.804058001000044', 'longitude': '-73.95659134499994'}","['40.804058001000044', '-73.95659134499994']"
113,2020-07-22T00:00:00.000,14,GRAND LARCENY,FRONT OF,STREET,40.749992001000074,-73.99507133799993,"{'latitude': '40.749992001000074', 'longitude': '-73.99507133799993'}","['40.749992001000074', '-73.99507133799993']"
114,2020-07-22T00:00:00.000,112,PETIT LARCENY,OPPOSITE OF,STREET,40.722797981000035,-73.85195635699995,"{'latitude': '40.722797981000035', 'longitude': '-73.85195635699995'}","['40.722797981000035', '-73.85195635699995']"
115,2020-07-20T00:00:00.000,73,ASSAULT 3 & RELATED OFFENSES,INSIDE,OTHER,40.677292057000045,-73.90652155499998,"{'latitude': '40.677292057000045', 'longitude': '-73.90652155499998'}","['40.677292057000045', '-73.90652155499998']"
116,2020-07-19T00:00:00.000,42,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,,40.83342426000007,-73.90000715499998,"{'latitude': '40.83342426000007', 'longitude': '-73.90000715499998'}","['40.83342426000007', '-73.90000715499998']"
117,2020-07-18T00:00:00.000,26,BURGLARY,INSIDE,RESIDENCE - APT. HOUSE,40.80944340600007,-73.96546345899996,"{'latitude': '40.80944340600007', 'longitude': '-73.96546345899996'}","['40.80944340600007', '-73.96546345899996']"
